date,signal,spy_price,vix,confidence,vwap,poc,vah,val,confluence_score,strike,right,option_price,contracts,premium,pnl,portfolio_value
2025-04-09,BUY_PUT,547.0029296875,33.619998931884766,0.7625,526.9877483932796,518.3881814620461,541.2420284262653,508.06708928465696,5.5,545.0,P,2.51,1,250.99999999999997,175.69999999999996,25175.7
2025-04-10,BUY_CALL,523.0337524414062,40.720001220703125,0.6375,528.5697810451416,534.6070405979435,542.7164701658921,518.3881814620461,5.5,525.0,C,1.75,2,350.0,-350.0,24650.0
