position_id,signal,entry_time,exit_time,entry_price,exit_price,strike,option_type,contracts,premium_paid,premium_received,pnl,pnl_pct,exit_reason,confidence,spy_entry,spy_exit,capital_after
OPT_0001,BUY_PUT,2025-07-14 10:10:00,2025-07-14 10:30:00,1.2894568520507002,2.1508571000218577,621.0,put,2,257.89137041014004,430.17142000437156,172.2800495942315,0.6680334022819153,PROFIT_MAIN_TARGET,0.48400000000000004,622.3809400559098,620.0726737632502,24784.97155392774
OPT_0004,BUY_CALL,2025-07-14 10:35:00,2025-07-14 11:00:00,1.2250889842023192,2.135301785703422,621.0,call,2,245.01779684046383,427.0603571406844,182.04256030022057,0.7429768884043646,PROFIT_MAIN_TARGET,0.48120000000000007,618.4296252834075,622.0089390394999,23633.708684323774
OPT_0003,BUY_CALL,2025-07-14 10:30:00,2025-07-14 11:05:00,1.1703149734448577,2.860059550652344,622.0,call,3,351.0944920334573,858.017865195703,506.92337316224575,1.4438374416706568,PROFIT_HOME_RUN,0.48120000000000007,620.0726737632502,623.7988147059898,24198.430842638907
OPT_0007,BUY_CALL,2025-07-14 10:55:00,2025-07-14 11:05:00,1.0939240124136116,2.7443886575109264,622.0,call,3,328.1772037240835,823.3165972532779,495.1393935291944,1.5087562082632808,PROFIT_HOME_RUN,0.4,621.7589148160565,623.7988147059898,25021.747439892184
OPT_0008,BUY_CALL,2025-07-14 11:00:00,2025-07-14 11:15:00,0.9776523562685695,3.206550950425391,625.0,call,3,293.2957068805709,961.9652851276171,668.6695782470463,2.2798478210229187,PROFIT_HOME_RUN,0.46720000000000006,622.0089390394999,627.1782702617719,25343.66432009928
OPT_0010,BUY_CALL,2025-07-14 11:10:00,2025-07-14 11:15:00,1.0698004330366266,2.1373930473600637,626.0,call,3,320.940129910988,641.2179142080191,320.27778429703113,0.997936233109457,PROFIT_MAIN_TARGET,0.46720000000000006,624.44532159801,627.1782702617719,25984.8822343073
OPT_0009,BUY_PUT,2025-07-14 11:05:00,2025-07-14 11:30:00,1.0636942500317776,3.2196765744125577,623.0,put,3,319.1082750095333,965.9029723237672,646.7946973142339,2.0268816197101467,PROFIT_HOME_RUN,0.5624,623.7988147059898,620.7086634423955,26424.01202252647
OPT_0011,BUY_PUT,2025-07-14 11:15:00,2025-07-14 11:30:00,1.0535463682091908,5.221566581184991,625.0,put,5,526.7731841045954,2610.7832905924956,2084.0101064879,3.9561810839522566,PROFIT_HOME_RUN,0.95,627.1782702617719,620.7086634423955,29034.795313118964
OPT_0006,BUY_PUT,2025-07-14 10:50:00,2025-07-14 11:40:00,1.0778116199833154,1.788370855842432,618.0,put,3,323.34348599499464,536.5112567527297,213.167770757735,0.6592610644428905,PROFIT_MAIN_TARGET,0.5232,619.5496630635578,617.1022679840348,29571.306569871693
OPT_0002,BUY_CALL,2025-07-14 10:15:00,2025-07-14 11:50:00,1.2910283188883138,0.8367018123390769,627.0,call,3,387.30849566649414,251.01054370172307,-136.29795196477107,-0.3519105660985431,STOP_LOSS,0.9039999999999999,624.5313064730843,615.1519317799971,29346.51608209756
