date,strategy,spy_price,vix,strike,right,option_price,contracts,premium,pnl,portfolio_value
2025-01-02,IRON_BUTTERFLY_SIM,581.16845703125,17.93000030517578,SIMULATED,IB,1.0344000244140625,4,413.760009765625,413.760009765625,25000.0
2025-01-03,DIAGONAL_SIM,588.43505859375,16.1299991607666,SIMULATED,C,2.38700008392334,1,-238.70000839233398,-238.70000839233398,23499.06751444225
2025-01-06,DIAGONAL_SIM,591.8247680664062,16.040000915527344,SIMULATED,C,2.3959999084472656,1,-239.59999084472656,479.1999816894531,23128.25687374478
2025-01-07,IRON_BUTTERFLY_SIM,585.134765625,17.81999969482422,SIMULATED,IB,1.0255999755859375,4,410.239990234375,410.239990234375,22713.43192546062
2025-01-08,IRON_BUTTERFLY_SIM,585.9896850585938,17.700000762939453,SIMULATED,IB,1.0160000610351563,4,406.4000244140625,-1219.2000732421875,21198.461317916306
