date,strategy,spy_price,vix,strike,right,option_price,contracts,premium,pnl,portfolio_value
2025-01-02,IRON_BUTTERFLY,581.1685180664062,17.93000030517578,581,IB,3.4,2,680.0,680.0,25000.0
2025-01-03,DIAGONAL,588.43505859375,16.1299991607666,588/593,C,3.66,1,-366.0,-366.0,24249.533757221125
2025-01-06,DIAGONAL,591.8248291015625,16.040000915527344,592/597,C,3.41,1,-341.0,-341.0,23871.94378000846
2025-01-07,IRON_BUTTERFLY,585.1348266601562,17.81999969482422,585,IB,3.7199999999999998,2,744.0,744.0,23487.9743648941
2025-01-08,IRON_BUTTERFLY,585.9896240234375,17.700000762939453,586,IB,3.2199999999999998,2,644.0,644.0,22728.779301330538
