date,strategy,spy_price,vix,strike,right,option_price,contracts,premium,pnl,portfolio_value
2025-01-02,IRON_BUTTERFLY_SIM,581.17,17.93,SIMULATED,IB,1.03,4,413.76,413.76,25000.00
2025-01-03,DIAGONAL_SIM,588.44,16.13,SIMULATED,C,2.39,1,-238.70,-238.70,23499.07
2025-01-06,DIAGONAL_SIM,591.82,16.04,SIMULATED,C,2.40,1,-239.60,479.20,23128.26
2025-01-07,IRON_BUTTERFLY_SIM,585.13,17.82,SIMULATED,IB,1.03,4,410.24,410.24,22713.43
2025-01-08,IRON_BUTTERFLY_SIM,585.99,17.70,SIMULATED,IB,1.02,4,406.40,-1219.20,21198.46
